"","County","Year","DI.Avg.","Yield","Soil..WA.","RF.May.","RF.June.","RF.July.","RF.Aug.","RF.Sep.","TMax.May.","TMin..May.","TMax.June.","TMin.June.","TMax.July.","TMin.July.","TMax.Aug.","TMin.Aug.","TMax.Sep.","TMin.Sep."
"14","Allamakee",1996,0.07,"Low",43.3,760.75,2030,263.5,572,468.25,171.129,62.90322581,242.0333,128.5333,270.1935,138.8387,269.3548,128.6129,225.1333,89.6
"15","Allamakee",1998,8.22,"High",43.3,848.25,2334.666667,815.3333333,1968,454.3333333,199,94.27272727,261.8666667,147.5,290,174.1668569,279.1774242,162.0483871,242,104.58620345
"16","Allamakee",1999,12,"High",43.3,1365.666667,773.3333333,2735,822,367.75,210.3548,93.06452,261.8666667,147.5,299.6154,177,255.6154,146.8846,228.6667,77.55556
"17","Allamakee",2000,4.73,"Low",43.3,2400.333333,2287,1026,1300,211,209.9286,94.64285714,242.3667,126.8667,265.7667,158.9667,265.5667,157.8,219.7857,91.14286
"18","Allamakee",2001,0.62,"High",43.3,1542.666667,1067.333333,761.6666667,786.6666667,1666.666667,202.2333,90.93333333,249.3333,126.037,297.2759,160.931,280.7419,154.6452,214.4138,92.34483
"19","Allamakee",2002,4.11,"High",43.3,986.5,899.25,1296.75,1138.75,505.75,188.7333,37.83333333,269.1017,135.7627,300.2632,158.3509,262.9833,131.1833,237.6552,82.31034
"20","Allamakee",2004,10.99,"High",43.3,3169.25,1514.5,1451.25,962.5,214,204.6724,77.01724138,246.902,122.8431,267.2419,128.0806,241.7903,119.7419,259.7833,111.7333
"21","Appanoose",1995,7.39,"Very Low",45.7,2224,1055,701.5,465,455.5,191.3387097,94.51612903,264.0666667,166.4833333,297.3488372,183.9767442,316.8541667,199.9166667,232.8474576,106.2372881
"22","Appanoose",1996,5.05,"Very Low",45.7,2514,1083,596,656.5,712,205.7868852,100.6557377,267.9666667,153.85,288.3125,171.3958333,275.8837209,172.1627907,226.3666667,115.3666667
"23","Appanoose",1997,0.04,"Low",45.7,1314.5,448.5,398,863.5,810.5,196.8870968,75.29032258,275.8833333,160.6,296.4166667,181.4444444,279.2307692,173.9230769,248.3833333,130.2333333
"24","Appanoose",1998,6.74,"Very Low",45.7,1399.5,1312,547,957,1166,242.2586207,137.4137931,254.245614,158.7017544,294.28125,196.9375,299.1153846,193.7692308,266.4,152.6909091
"25","Appanoose",1999,5.19,"Very Low",45.7,1466,963.5,507,357,1004.5,215.442623,112.0819672,253.3888889,152.4722222,316.2580645,206,285.35,165.675,243.6724138,104.5862069
"26","Appanoose",2000,-2.28,"Low",45.7,580.5,2406.5,1192.5,475,1220.5,239.3387097,115.983871,263.037037,158.9814815,283.4130435,188.173913,287.2093023,192.8139535,254.25,121.1428571
"27","Appanoose",2002,-2.54,"Low",45.7,1614,616,941,832.5,145.5,206.4745763,84.55932203,283.7058824,180.9411765,305.5806452,201.0967742,277.1914894,173.4255319,264.0392157,130.3137255
"28","Appanoose",2003,-4.13,"Low",45.7,1141.5,1018,1017,231,1692,212.3793103,97.55172414,250.4615385,143.3653846,295.0967742,184.5806452,316.5714286,192.5238095,230.5,106.5714286
"29","Appanoose",2004,5.66,"High",45.7,1933,677.5,1252,2182,353,230.3,119.55,250.8536585,153.1219512,267.2258065,174.1290323,255.0322581,144.2258065,260.2758621,130.6551724
"30","Audubon",1995,1.46,"Very Low",67.9,1293,409,539,969,753,196.4516,78.87097,267,149.8,298.7586,164.5862,298.9032,192.0968,231.2667,83.73333
"31","Audubon",1996,8.22,"Low",67.9,1515,2157,1309,915,979,195.4839,94.12903,272.5333,155,272.3226,158.2258,263.4516,155.3871,215.5667,97.9
"32","Audubon",1997,1.7,"Low",67.9,778,1149,501,681,581,202.5484,60.51613,283.8333,143.9667,289.5806,175.2903,263,136.7097,244.7667,99.46667
"33","Audubon",1998,9.47,"Low",67.9,1647,2669,1704,925,249,239.9677,109.129,244.4,130.2,285.7419,177.6774,274.0645,169.7742,269.7667,124.4
"34","Audubon",1999,9.34,"Low",67.9,962,2057,1151,1099,229,209,87.3871,246.7667,149.5,300.3667,187.5333,262.8387,141.8065,233.3333,72.93333
"35","Audubon",2000,-8.18,"Low",67.9,567,1180,554,402,152,237.2581,94.35484,264.0667,127.1667,272.9355,165.8065,287.5484,166.8387,266.1333,88.56667
"36","Audubon",2001,0.9,"Low",67.9,2091,772,18,737,892,219.0667,103.3333,256.4828,137.2069,258,155.5,274.2941,132.2941,221.2667,92.4
"37","Audubon",2002,-0.38,"High",67.9,935,442,993,1160,412,202.5484,62.45161,294.0333,161.9,305.5806,181.0968,275.1935,145.4194,249.9667,95.26667
"38","Audubon",2003,1.87,"Low",67.9,1259,984,605,294,586,203.7419,72.45161,253.7407,133.5185,285.4194,158.0323,300.5806,155.6774,235.3793,65.31034
"39","Audubon",2004,5.13,"High",67.9,2780,1142,775,1203,482,232.4839,90.93548,244.0667,123.3333,268.2903,150.2903,246.9355,113.2258,262.9333,108.2
"40","Benton",1995,0.38,"Very Low",77.7,1605.5,1011,751.5,370.5,648,206.0967742,79.40323,274.4166667,163.4166667,297.4032258,173.9677419,313.9032258,195.1290323,221.0166667,91.88333333
"41","Benton",1996,2.64,"Low",77.7,2194,1356,733,952,876,183.9516129,84.22581,257.7333333,155.3166667,270.9193548,153.7580645,270.1129032,155.9516129,222.5833333,101.4333333
"42","Benton",1997,-0.99,"Low",77.7,1297.5,1107,547,1051,903,186.6612903,56.8871,271.5,147.25,284.516129,170.8870968,262.1451613,151.7258065,238.3333333,116.15
"43","Benton",1998,4.65,"High",77.7,1138.5,2146,355.5,1357,718.5,243.4516129,123.9032,245.2166667,143.4,285.6612903,174.2741935,279.6290323,176.516129,264.0166667,127.5
"44","Benton",1999,6.38,"High",77.7,1303.5,1256.5,1189.5,752,302.5,216.8870968,106.0161,260.4333333,152.8666667,306.7096774,191.0322581,268.9032258,153.0322581,243.9666667,90.06666667
"45","Benton",2000,4.4,"Low",77.7,868,1742,1406.5,431.5,608,240.5967742,105.0806,261.4666667,141.1166667,272.25,165.8666667,278.3870968,168.6129032,256.9152542,113.440678
"46","Benton",2001,1.58,"High",77.7,1349,1186,1011,807.5,988,219.2096774,105.0968,258.1333333,141.7333333,294.852459,177.2131148,286.516129,164.0483871,225.35,93.98333333
"47","Benton",2002,4.75,"High",77.7,987.5,930,1061.5,944.5,530,210.3548387,70.93548,279.1666667,160.7333333,307,183.8064516,274.1129032,150.6612903,264.1666667,102.2666667
"48","Benton",2003,-1.83,"High",77.7,1613.5,1130,920,325.5,815,207.6129032,82.77419,256.75,133.0333333,282.4032258,168.3064516,300.8709677,163.9516129,233.2,92.53333333
"49","Benton",2004,4.34,"High",77.7,2148.5,920,1056.5,1497.5,143,224.8709677,100.5806,254.7833333,140.9,265.7903226,158.2258065,247.7258065,128.7258065,263.75,111.6333333
"50","Black Hawk",1995,0.35,"Low",70,802,1269,465,1262,620,209.6452,83.6129,277.6333,159.7,301.5484,168.2258,308.0645,195.3548,230.0667,88.46667
"51","Black Hawk",1996,0.07,"Low",70,1363,1123,606,449,890,185.2581,86.54839,267.9,161.6333,277,155.7097,279.7742,147.6452,236.1,103.5333
"52","Black Hawk",1997,4.16,"Low",70,683,1505,505,1176,800,191.4194,60,281.3333,148.4333,279.7097,168.6452,261.7419,144.4839,238.0333,107.1667
"53","Black Hawk",1998,8.22,"Low",70,930.5,2429.5,87,2623.5,358.5,251.6129,120.2903,247.2667,148.4667,293.0645,159.5484,273.8387,168.8065,270.7333,118.3333
"54","Black Hawk",2000,4.73,"Low",70,2252.5,1818,987.5,564,495.5,235.6774,105,258.7667,139.9667,277.0323,165.2258,280.8065,160.5161,252.6,105.3667
"55","Black Hawk",2001,0.62,"High",70,1316,1078.5,1641,622.5,1022.5,214.6774,106.4516,260.6333,143.3,292.7742,174.4194,281.1935,160.0323,224.4,90.5
"56","Black Hawk",2003,0.13,"High",70,1375,831,1097,21.5,589,215.6452,80.19355,274.5667,141.3667,292.6774,174.4839,304.1613,156.5806,239.4,86.7
"57","Black Hawk",2004,10.99,"High",70,2888.5,980,707,1165,165,224.2258,95.19355,256.6667,135.7667,272.7742,148.4194,250.8387,130.7097,269.0667,116.5
"58","Boone",1995,3.85,"Low",76.8,1145.5,900.5,903.5,957.5,698,197.1613,83.20967742,266.9167,152.4333,293.2258,169.7097,301.5082,191.6557,230.3333,94.76667
"59","Boone",1996,2.99,"Low",76.8,1689,1654,1015,1109.5,815,187.7258,87.30645161,264.2333,155.1833,275.8871,156.4677,268.6613,158.7581,221.7833,100.95
"60","Boone",1997,0.61,"Low",76.8,711.5,976,1113,448.5,566.5,193.6935,58.58064516,285.4333,150.1,292.9194,173.871,268.629,155.6452,253.7,117.95
"61","Boone",1998,9.2,"Low",76.8,1018.5,3031,899.5,1048.5,243.5,251.6935,125.1612903,245.6333,140.7833,289.4516,180,285.4677,182.7903,281.1333,136.3833
"62","Boone",1999,7.29,"High",76.8,1502.5,1874,1499,1615,530,216.3065,106.3225806,258.8333,154.7,309.6452,196.3226,270.6774,159.129,240.6667,92.3
"63","Boone",2000,-1.3,"High",76.8,1152,1159.5,704,459.5,278.5,246.9194,106.6451613,262.4667,142.0667,277.9032,170.6774,288.0161,172.2742,271.9667,113.8
"64","Boone",2001,-1.83,"High",76.8,1888.5,721.5,568,605.5,1476.5,217.8065,107.0483871,268.2,144.85,299.7419,188.8226,294.1774,170.0323,231.0667,105.6167
"65","Boone",2002,-0.17,"High",76.8,1285,826.5,1276,2007.5,375.5,212.629,78.0483871,289.9667,167.1667,308.4355,190.2903,275.9677,162.1935,261.85,122.15
"66","Boone",2003,1.51,"High",76.8,1234,1390.5,1716,283.5,823.5,209.7903,91.66129032,260.45,140.5667,288.0323,172.5484,300.0323,171.871,240.8333,92.8
"67","Boone",2004,5.98,"Very High",76.8,1929,894.5,456.5,1660,292.5,224.7097,106.0967742,253.6333,137.4667,272.8871,165.1613,251.0161,136.0968,267.45,123.9
"68","Bremer",1995,0.35,"Low",76.3,905,1435,800,1442,511,192.4828,67.7931,271.2667,148.8667,283.871,163.0968,296.9333,181.9,212.4,78.03333
"69","Bremer",1998,8.22,"High",76.3,876,2477,285,1785,532,245.8929,120.3571,244.2333,140.7667,287.4516,163.2581,274.9333,167.8667,264.8667,113.6667
"70","Bremer",1999,12,"High",76.3,2373,1498,2316,1240,270,210.1935,102.1613,256.1667,148.3,299.4194,187.4194,261.3226,149.8065,231.1333,83.13333
"71","Bremer",2000,4.73,"High",76.3,1067,2363,646,1251,684,226.6129,104.129,246.7,138.5667,271.7742,158.4194,273.3226,162.1613,242.8,107.2
"72","Bremer",2001,0.62,"High",76.3,1647,657,848,876,1322,212.6452,99.93548,254.4667,141.8,292,164.1613,280.129,159,219.7333,91.63333
"73","Bremer",2002,4.11,"Very High",76.3,972,1338,1080,836.75,612,205.129,64.77419,276.8667,157.4,301.0323,179.1613,279.1774242,162.0483871,242,104.58620345
"74","Bremer",2003,0.13,"High",76.3,1260,1032,1147,107,531,210.3548,93.06452,259.8333,130.4,280.129,158.6129,302.2903,158.0645,235.8333,80.8
"75","Bremer",2004,10.99,"Very High",76.3,2670,1065,1584,1209,389,211.129,88.06452,251.8667,138.5667,266.5161,151.6129,247.9032,123.9677,261.4333,114.5667
"76","Buchanan",1995,0.35,"Very Low",75.4,1023,836,629,768,473,205.1612903,86.19354839,279.2333333,163.3333333,292.1290323,170.8064516,308.4516129,191.1612903,223.3,90.46666667
"77","Buchanan",1997,4.16,"Low",75.4,1097,1156,627,1013,617,194.9354839,65.67741935,278.7,154.5,282.2258065,176.3870968,263.6451613,155.0967742,236.7333333,125.2
"78","Buchanan",1998,8.22,"Low",75.4,1203,2626,177,2078,500,252.1290323,129.9677419,252,157.6,291.8064516,173.0322581,280.1612903,181.1935484,267.9666667,137.9666667
"79","Buchanan",1999,12,"High",75.4,1213,1601,2957,1032,499,223.2580645,113.9677419,262.6333333,161.0666667,308.9032258,196,265.8064516,158.7419355,235.0666667,100.8
"80","Buchanan",2000,4.73,"Low",75.4,750,2242,915,500,525,235.516129,111.6774194,259.7333333,146.8,275.9677419,170.8709677,277.1612903,172.0967742,243.9,121
"81","Buchanan",2001,0.62,"High",75.4,1520,1920,1573,760,1280,211.5483871,121.3870968,259.1333333,153.9666667,292.0967742,185.8387097,281.0645161,178.7096774,212.2,100.2333333
"82","Buchanan",2002,4.11,"Very High",75.4,1183,1455,1518,1525,342,198.0645161,57,270.7333333,149.1666667,293.4516129,176.6129032,261.52,136.68,249.4666667,103.5333333
"83","Buchanan",2003,0.13,"High",75.4,1731,1387,945,26,610,200.5666667,63.26666667,256.6666667,122.8,275.1034483,151.5172414,300.0344828,147.9310345,234.3,72.73333333
"84","Buchanan",2004,10.99,"High",75.4,2685,839,656,1118,5,214.3548387,80.96774194,247.2068966,132.6206897,263.9032258,142.2258065,241.0357143,109.8571429,261.4,106.5333333
"85","Buena Vista",1995,9.41,"Low",85.5,1969,784.5,428.5,818.5,1085.5,180.5968,74.61290323,261.3571,143.9821,280.8387,162.2581,285.1017,176.2542,208.0678,80.91525
"86","Buena Vista",1996,6.39,"Low",85.5,1596,1450,809.5,2136,856.5,176.2131,78.09836066,271.2308,149.4231,264.8852,146.5902,256.7,145.5333,208.6897,92.32759
"87","Buena Vista",1997,5.82,"Low",85.5,971,1680.5,896,570.5,1032.5,181.4,53.5,283.0526,150.193,281.9194,174.371,258.05,149.4333,244.6667,115.0351
"88","Buena Vista",1998,0.8,"High",85.5,820.5,2209,1017.5,1511,269,247.2143,115.0714286,244.8889,134.8333,284.4035,174.4211,270.9828,173.5517,270.5424,129.6949
"89","Buena Vista",1999,5.17,"High",85.5,960.5,1442.5,1334,566.5,203,205.0714,99.625,247.0667,148.8833,290.8947,189.9123,267.1,150.35,231.2982,90.45614
"90","Buena Vista",2000,-11.21,"Low",85.5,807.5,587,802,1336,141,243.1538,102.0384615,266.4474,133.1579,269.12,151.18,274.4359,159.2821,251.5091,94.34545
"91","Buena Vista",2001,3.81,"Low",85.5,1498,1002.5,776,943.5,523,206.4211,93.05263158,277.4444,148.5741,293.7193,178.9649,278.8966,165.1552,227.4333,103.6
"92","Buena Vista",2003,0.99,"High",85.5,565,2130.5,1304,305,431.5,200.6038,83.22641509,255.75,137.0333,280.6721,162.8852,290.6333,161.8333,231.0339,90.77966
"93","Buena Vista",2004,0.46,"Very High",85.5,1132.5,729,855.5,226.5,1796.5,212.569,88.51724138,246.6333,130.7,266.5968,157.0968,253.2586,129.0172,258.6,124.4667
"94","Butler",1995,7.38,"Low",74.5,705.3333,1306.667,623,906.6667,705.6667,205.0322581,85.80645,272.5666667,162.9666667,290.9032258,170.4516129,304.6923077,181.6923077,225.2,94.06666667
"95","Butler",1996,0.32,"Low",74.5,1138.667,1177.667,611,1243.667,619.6667,185.2903226,86.25806,263.2,154.7333333,275.0645161,159.9032258,272.2580645,151.4516129,221.7333333,104.1666667
"96","Butler",1998,4.56,"High",74.5,964,2211.667,304.6667,1808.333,560,254.6451613,128.2903,246.8666667,150.2333333,291.0967742,175.8064516,275.5806452,177.8709677,268.6,130.4666667
"97","Butler",2000,2.81,"Low",74.5,1130,1645.667,1128.667,592.3333,407.6667,236.9677419,107.6774,254.3,142.2333333,277.9354839,169.6451613,279,170.2258065,250.8,119.9333333
"98","Butler",2001,3.37,"High",74.5,1732.333,891,1293.333,769.6667,1402,215,108.2759,270.5333333,149,292.8064516,182.4193548,276.6129032,173.8387097,215.9,103.3666667
"99","Butler",2002,-1.54,"High",74.5,740,914,1014.333,1788.333,580.6667,216.516129,76.48387,284.4666667,165.9666667,302.3870968,189.8064516,270.1935484,156.5806452,251.4333333,123.5333333
"100","Butler",2003,0.79,"High",74.5,1062.667,1250,1579.333,222,675,212.483871,88.54839,265,143.7666667,283.1612903,169.516129,292.4193548,172.8709677,230.8,98.56666667
"101","Butler",2004,6.5,"Very High",74.5,2201.333,661.3333,1030,1012,536.3333,219.5483871,104.7097,258.8666667,143.2666667,268.8709677,162.2580645,242.2903226,139.3548387,259.2333333,122.5333333
"102","Calhoun",1995,1.46,"Low",85.7,1047,1163,468,725,1091,199.2903226,82.22581,267.1,149.2666667,297.0645161,164.9354839,306.3103448,180,228.7692308,74.42307692
"103","Calhoun",1996,8.22,"Low",85.7,1314,1372,754,1729,492,180.7096774,79.77419,263.1666667,149.6,273.4193548,153.9354839,266.9642857,147.1785714,220.2592593,94.03703704
"104","Calhoun",1998,9.47,"Low",85.7,1248,2278,848,462,117,250.2083333,121.9583,241.7241379,135.4827586,285.0322581,178.8064516,284.8571429,178.4761905,276.4347826,121.7826087
"105","Calhoun",2000,-8.18,"Low",85.7,647,828,983,517,376,235.4583333,91.20833,260.5172414,130.2758621,274.0967742,166.2580645,282.6896552,161.9310345,263.4285714,93.67857143
"106","Calhoun",2002,-0.38,"High",85.7,979,459,1109,2646,326,197.9,53.13333,285.1333333,150.5666667,302.9333333,167.6666667,268.0666667,142.3,242,105.6
"107","Calhoun",2003,1.87,"High",85.7,1390,683,1765,135,673,193.4193548,80.16129,247.1666667,134.0416667,280.0689655,156.5862069,290.5666667,159.3,231.2758621,79.86206897
"108","Calhoun",2004,5.13,"Very High",85.7,2048,1686,801,881,587,208.8064516,88.3871,244.4666667,134.8333333,263.7241379,157.4827586,247.137931,125.6551724,258.4333333,115.6333333
"109","Carroll",1996,8.22,"Low",77.2,2103,1534,1827,1408,699,182.0323,86.74194,272.8333,151.8,272.1613,158.4516,267.8065,154.3548,217.9667,99
"110","Carroll",1997,1.7,"Low",77.2,640,1560,425,401,892,193.0323,61.12903,291.2667,147.8667,294.6452,178.3548,274.5484,150.7742,242.0333,113.7
"111","Carroll",1998,9.47,"High",77.2,1345,2048,1015,719,168,245.6452,119.1935,249.2333,137.5667,291.4194,179.9032,284.7419,178.8387,282.0333,134.2333
"112","Carroll",1999,9.34,"Low",77.2,626,1826,2048,846,270,214.871,96.54839,258.6,148.3333,303.2903,190.0968,279.3871,153.871,239.9333,82.3
"113","Carroll",2000,-8.18,"Low",77.2,719,922,711,230,181,242.5806,102.4839,269.9667,138.5,282.5484,172.4516,295.0968,171.8387,273.1333,99.03333
"114","Carroll",2001,0.9,"Low",77.2,1853,1436,600,1305,655,215.0323,101.3871,264.9667,146.5,298.3871,188.0645,292.9355,167,226.5667,101
"115","Carroll",2002,-0.38,"High",77.2,925,786,671,3017,443,208.7097,72.93548,295.3667,168.4667,315.7419,188.5484,278.2903,155.4839,250.5667,113.9
"116","Carroll",2003,1.87,"High",77.2,1357,1202,1460,129,600,203.1935,80.6129,255.7667,134,290,170.9032,304.7419,166.2258,237.5667,87.26667
"117","Cass",1996,5.44,"Low",69.5,2339,1590,1188,650.5,1123,187.8387,104.8709677,274.8333,154.7,277.7097,160.6774,275.1935,156.129,229.9,91.56667
"118","Cass",1997,0.06,"Low",69.5,794.5,736,226,522,660.5,203.0323,58,289.8667,148.3667,301.8387,177.2903,282.6129,150.3548,258.6667,112.1667
"119","Cass",1998,10.46,"Low",69.5,1355.5,3233.5,2243.5,931.5,250,249.6129,128.8064516,260.1667,146.4667,298.9355,188.6774,291.0323,184.9355,292.3,141.1
"120","Cass",1999,9.1,"Low",69.5,1907.5,1283.5,830,903,474,215.2581,103.5483871,262.6667,158.2333,311.3226,204.7742,278.0323,152.6452,241.5333,85.86667
"121","Cass",2000,-1.82,"Low",69.5,683.5,1639.5,910,493,314.5,254.3226,120.0967742,273.5667,140.0333,285.9355,175.6774,303.2903,178.7742,277.3333,105.3667
"122","Cass",2001,2.19,"Low",69.5,2413.5,812.5,392.5,393.5,1302.5,224.3871,112.0322581,272.8333,149.8333,310.9032,192.2903,301.6452,162.9355,239.2333,96.73333
"123","Cass",2002,-5.85,"Low",69.5,1013,302.5,635,972,425,216.2581,83.70967742,307.0667,173.8667,324.6774,191.2258,294.3548,157.7097,265.6,118.4
"124","Cass",2003,-3.58,"Low",69.5,1281.5,759,808.5,229.5,602.5,214.9032,83.22580645,265.8667,131.3667,306.3226,173.9355,320.4194,166.6452,247.1333,76.8
"125","Cass",2004,5.4,"Very High",69.5,1773.5,556.5,1430.5,1167,634,234.7419,112.3548387,261.5,136.4,273.6774,164.9677,260.7419,135.0323,271.4667,122.4
"126","Cedar",1996,2.64,"Low",76.6,2863,981,657,511.5,453,174.6129,79.19355,261.3333,151.9,265.4516,146.4516,272.9677,146.6129,224.2333,89.63333
"127","Cedar",1997,-0.99,"Low",76.6,1282,921,599,1063,684,181.3871,49.12903,266.5,145.5667,277.5484,161.2258,258.3226,141.6774,240.9333,109.4333
"128","Cedar",1998,4.65,"High",76.6,932,1932,314.5,1412,963.5,249.8065,118.8387,246.8333,144.1667,279.5161,163.5806,271.4516,167.5484,267.8333,122.8333
"129","Cedar",1999,6.38,"High",76.6,1009,1126.5,1152.5,897,508,222.5806,102.5161,262.5,147.4333,294.871,182.9355,257.4839,146.6452,234.9,81.6
"130","Cedar",2000,4.4,"Low",76.6,1361,1622,870,501,1224,231.6129,103.6129,245.2333,136.8,267.0968,158.7742,269.3226,157.0968,265.9231,110.3077
"131","Cedar",2001,1.58,"High",76.6,1681.5,711.5,791,944.5,1114.5,228.3226,103.9355,249.6333,140.4667,287.5806,173.8387,281,156.0323,227.1,96.33333
"132","Cedar",2002,4.75,"Very High",76.6,1212.5,1225,2488,1017.5,474.5,199.1,68.16667,273.1667,162.0333,284.871,180.5806,268.8387,153.9677,257.6,105.8
"133","Cedar",2003,-1.83,"Very High",76.6,601.5,845.5,1073.5,285.5,936,206.1333,74.6,252.0333,128.3,271.5161,157.1613,290,140.6129,234.2667,87.4
"134","Cedar",2004,4.34,"Very High",76.6,1796,1470.5,1265.5,1184.5,143.5,224.0323,93.90323,245.6,137.9,265.0323,152,243.6774,121,267.3667,102.8
"135","Cerro Gordo",1995,7.38,"Low",75.9,1173,1737,836.5,1528.5,951.5,192.5484,72.43548,266.5,147.5833,284.8548,162.8387,292.2581,180.7581,213.65,73.58333
"136","Cerro Gordo",1996,0.32,"Low",75.9,831.5,1395.5,409.5,1712.5,317,174.8387,73.19355,256.3167,137.6833,268.8065,139.7903,261.9355,134.0645,214.3167,88.63333
"137","Cerro Gordo",1997,2.06,"Low",75.9,1158.5,1157,1607.5,497.5,578,179.0484,44.6129,278.15,140.65,269.7258,163.8065,258.3226,138.7903,231.4,95.5
"138","Cerro Gordo",1999,12.28,"Low",75.9,2016,1420.5,2950,560.5,428,206,92.53226,252.8833,141.4833,300.5645,180.9839,257.7903,143.1452,226.7333,76.36667
"139","Cerro Gordo",2000,2.81,"Low",75.9,1140,1467.5,1422.5,870,379.5,224.4032,88.3871,249.5,126.25,272.2903,164.1452,266.0323,152.4032,242.8,88.15
"140","Cerro Gordo",2001,3.37,"Low",75.9,1782.333,743.3333,1043.667,573.3333,503,203.2903,91.30645,259.0333,132.4,290.2419,162.4839,271.6452,153.871,210.6333,79.65
"141","Cerro Gordo",2002,-1.54,"High",75.9,541.6667,827,1889,1654.333,629.3333,198.7581,55.3871,273.0833,151.1,299.5806,177.9194,262.129,144.2419,242.2333,106.2167
"142","Cerro Gordo",2003,0.79,"High",75.9,1230,1536.333,1039.667,304,298.3333,194.9032,65.66129,252.8167,122.95,275.2903,155,287.2097,154.0161,227.75,79.41667
"143","Cherokee",1995,9.41,"Low",82.2,1263,1088,351,838,1192,187.8065,64.03225806,264.9667,141.2667,297.3548,162.2903,300.4516,184.3871,219.2667,74.66667
"144","Cherokee",1996,6.39,"Low",82.2,863,1625,626,1295,808,186.2258,80.96774194,273.8333,147,273.2903,145.9032,268.6774,145.3226,213.2667,93.06667
"145","Cherokee",1998,0.8,"High",82.2,904,1619,925,821,464,249.5161,115.0645161,247.6,133.3667,287.9355,174.5806,278.5161,173.3548,278.0333,120.7
"146","Cherokee",1999,5.17,"High",82.2,600,1614,1104,170,193,217.2581,92.80645161,251.1333,145.7333,304.5806,184.2903,277.8387,147.5161,240,77.7
"147","Cherokee",2001,3.81,"High",82.2,1368,657,1285,1177,836,215.5806,95.74193548,269.8333,141.6667,298.3226,181.7419,281.6129,160.7097,220,93.36667
"148","Cherokee",2002,-3.47,"High",82.2,654,624,476,2698,646,204,57.87096774,291.3,158.5333,321.1613,183.4839,273.4516,158.9032,245.1333,107.6667
"149","Cherokee",2004,0.46,"Very High",82.2,1528,540,593,498,2388,214.2903,81.90322581,252.9333,120.7333,275.0645,154.3871,260.7097,121.0323,262.4,122.0667
"150","Chickasaw",1995,0.35,"Low",77.1,903,1114,1081,1081,599,201.2258,73.61290323,269.2667,157.7333,284.8065,168.129,293.0645,189.7419,213.0667,91.16667
"151","Chickasaw",1996,0.07,"Low",77.1,1416,1555,296,873,478,175.129,74.16129032,249.1,150.6,263.6129,150.7097,262.8387,145.9355,214.6,103.9333
"152","Chickasaw",1998,8.22,"High",77.1,1211,2684,299,1752,457,240.7419,123.4516129,235.037,137.4444,283.6,159.1,265.9355,172.4194,259.4,123.7
"153","Chickasaw",1999,12,"High",77.1,2112,901,4508,927,261,208.4516,105.3870968,254.6333,147.8,300.6774,182.5806,255.4839,148.9677,225.1,91.26667
